[15:03:03] [trace] Nut: [Core]Nut Engine
[15:03:03] [trace] Nut: [Core]Initializing...
[15:03:04] [info] Nut: [Renderer]初始化渲染器
[15:03:04] [info] Nut: [Renderer]设备名称: AMD Radeon 780M Graphics
[15:03:04] [info] Nut: [Renderer]渲染接口: OpenGL
[15:03:04] [info] Nut: [Renderer]版本: 4.6.0 Compatibility Profile Context 23.20.60.05.240328
[15:03:04] [info] Nut: [Renderer]厂商: ATI Technologies Inc.
[15:03:04] [info] Nut: [Renderer]最大采样数: 8
[15:03:04] [info] Nut: [Renderer]最大纹理单元: 32
[15:03:04] [info] Nut: [Renderer]启用OpenGL调试... 调试模式:同步
[15:03:04] [info] Nut: [Renderer]启用混合... 混合函数:源Alpha, 1-源Alpha
[15:03:04] [info] Nut: [Renderer]启用深度测试... 深度函数:小于等于
[15:03:04] [info] Nut: [Renderer]启用模板测试... 模板函数:总是通过, 模板操作:保持, 保持, 替换
[15:03:04] [info] Nut: [Renderer]启用剔除面... 剔除面:背面, 正面朝向:逆时针
[15:03:04] [info] Nut: [Renderer]启用多重采样... 启用无缝立方体贴图
[15:03:04] [error] Nut: [Shader]加载着色器文件失败: "Resources/Shaders/EdgeHighlightShader.glsl"
[15:03:04] [error] Nut: [Shader]Failed to compile shader: EdgeHighlightShader
[15:03:04] [info] Nut: [Renderer]调整视口大小: 1600, 900
[15:03:05] [info] Nut: [Window]窗口移动到 164, 205
[15:03:05] [info] Nut: [Window]窗口移动到 170, 206
[15:03:05] [info] Nut: [Window]窗口移动到 176, 209
[15:03:05] [info] Nut: [Window]窗口移动到 186, 217
[15:03:05] [info] Nut: [Window]窗口移动到 203, 225
[15:03:05] [info] Nut: [Window]窗口移动到 233, 242
[15:03:05] [info] Nut: [Window]窗口移动到 289, 266
[15:03:05] [info] Nut: [Window]窗口移动到 367, 299
[15:03:05] [info] Nut: [Window]窗口移动到 456, 338
[15:03:05] [info] Nut: [Window]窗口移动到 539, 372
[15:03:05] [info] Nut: [Window]窗口移动到 623, 410
[15:03:05] [info] Nut: [Window]窗口移动到 712, 449
[15:03:05] [info] Nut: [Window]窗口移动到 796, 487
[15:03:05] [info] Nut: [Window]窗口移动到 880, 529
[15:03:05] [info] Nut: [Window]窗口移动到 964, 567
[15:03:05] [info] Nut: [Window]窗口移动到 1033, 603
[15:03:05] [info] Nut: [Window]窗口移动到 1092, 642
[15:03:05] [info] Nut: [Window]窗口移动到 1145, 671
[15:03:05] [info] Nut: [Window]窗口移动到 1178, 693
[15:03:05] [info] Nut: [Window]窗口移动到 1206, 714
[15:03:05] [info] Nut: [Window]窗口移动到 1232, 728
[15:03:05] [info] Nut: [Window]窗口移动到 1252, 739
[15:03:05] [info] Nut: [Window]窗口移动到 1269, 752
[15:03:05] [info] Nut: [Window]窗口移动到 1281, 764
[15:03:05] [info] Nut: [Window]窗口移动到 1293, 772
[15:03:05] [info] Nut: [Window]窗口移动到 1301, 782
[15:03:05] [info] Nut: [Window]窗口移动到 1307, 791
[15:03:05] [info] Nut: [Window]窗口移动到 1312, 798
[15:03:05] [info] Nut: [Window]窗口移动到 1316, 807
[15:03:05] [info] Nut: [Window]窗口移动到 1317, 816
[15:03:05] [info] Nut: [Window]窗口移动到 1321, 825
[15:03:05] [info] Nut: [Window]窗口移动到 1321, 833
[15:03:05] [info] Nut: [Window]窗口移动到 1321, 839
[15:03:05] [info] Nut: [Window]窗口移动到 1321, 847
[15:03:05] [info] Nut: [Window]窗口移动到 1321, 855
[15:03:05] [info] Nut: [Window]窗口移动到 1321, 866
[15:03:05] [info] Nut: [Window]窗口移动到 1318, 880
[15:03:05] [info] Nut: [Window]窗口移动到 1316, 891
[15:03:05] [info] Nut: [Window]窗口移动到 1312, 903
[15:03:05] [info] Nut: [Window]窗口移动到 1308, 922
[15:03:05] [info] Nut: [Window]窗口移动到 1300, 937
